,Symbol,Name
685,004890,동일산업
686,002690,동일제강
687,023790,동일철강
688,005290,동진쎄미켐
689,025900,동화기업
690,000020,동화약품
691,000150,두산
692,000157,두산2우B
693,454910,두산로보틱스
694,241560,두산밥캣
695,034020,두산에너빌리티
696,000155,두산우
697,131970,두산테스나
698,336260,두산퓨얼셀
699,33626K,두산퓨얼셀1우
700,33626L,두산퓨얼셀2우B
701,016740,두올
702,073190,듀오백
703,176750,듀켐바이오
704,030350,드래곤플라이
705,203650,드림시큐리티
706,223250,드림씨아이에스
707,060570,드림어스컴퍼니
708,362990,드림인사이트
709,192650,드림텍
710,217620,디딤이앤에프
711,016670,디모아
712,187870,디바이스이엔지
713,024090,디씨엠
714,003160,디아이
715,092200,디아이씨
716,110990,디아이티
717,263690,디알젬
718,214680,디알텍
719,347850,디앤디파마텍
720,377190,디앤디플랫폼리츠
721,263720,디앤씨미디어
722,376300,디어유
723,109740,디에스케이
724,196490,디에이테크놀로지
725,066900,디에이피
726,127120,디엔에이링크
727,092070,디엔에프
728,039840,디오
729,013570,디와이
730,219550,디와이디
731,310870,디와이씨
732,210540,디와이파워
733,104460,디와이피엔에프
734,079810,디이엔티
735,113810,디젠스
736,043360,디지아이
737,197140,디지캡
738,068930,디지털대성
739,033130,디지틀조선
740,105740,디케이락
741,263020,디케이앤디
742,290550,디케이티
743,066670,디티씨
744,187220,디티앤씨
745,383930,디티앤씨알오
746,131180,딜리
747,315640,딥노이드
748,223310,딥마인드
749,317120,라닉스
750,462510,라메디텍
751,042510,라온시큐어
752,232680,라온테크
753,418420,라온텍
754,300120,라온피플
755,171120,라이온켐텍
756,388790,라이콤
757,347700,라이프시맨틱스
758,214260,라파스
759,403360,라피치
760,115390,락앤락
761,200350,래몽래인
762,171010,램테크놀러지
763,084650,랩지노믹스
764,217500,러셀
765,092590,럭스피아
766,038390,레드캡투어
767,294140,레몬
768,443250,레뷰코퍼레이션
769,228670,레이
770,228850,레이언스
771,412350,레이저쎌
772,199550,레이저옵텍
773,281740,레이크머티리얼즈
774,277810,레인보우로보틱스
775,215100,로보로보
776,090360,로보스타
777,238500,로보쓰리에이아이
778,108490,로보티즈
779,900260,로스웰
780,223220,로지스몬
781,067730,로지시스
782,071280,로체시스템즈
783,032350,롯데관광개발
784,089860,롯데렌탈
785,330590,롯데리츠
786,000400,롯데손해보험
787,023530,롯데쇼핑
788,020150,롯데에너지머티리얼즈
789,280360,롯데웰푸드
790,286940,롯데이노베이트
791,004000,롯데정밀화학
792,004990,롯데지주
793,00499K,롯데지주우
794,005300,롯데칠성
795,005305,롯데칠성우
796,011170,롯데케미칼
797,071840,롯데하이마트
798,328130,루닛
799,038060,루멘스
800,162120,루켄테크놀러지스
801,253610,루트락
802,141080,리가켐바이오
803,058470,리노공업
804,016100,리더스코스메틱
805,012700,리드코프
806,302550,리메드
807,073570,리튬포어스
808,377450,리파인
809,277070,린드먼아시아
810,042500,링네트
811,193250,링크드
812,219420,링크제니시스
813,439090,마녀공장
814,027740,마니커
815,195500,마니커에프앤지
816,357430,마스턴프리미어리츠
817,377480,마음AI
818,305090,마이크로디지탈
819,448780,마이크로엔엑스
820,098120,마이크로컨텍솔
821,424980,마이크로투나노
822,038290,마크로젠
823,001080,만호제강
824,267980,매일유업
825,005990,매일홀딩스
826,093520,매커스
827,377030,맥스트
828,088980,맥쿼리인프라
829,094800,맵스리얼티1
830,179720,머니무브
831,100590,머큐리
832,067280,멀티캠퍼스
833,072870,메가스터디
834,215200,메가스터디교육
835,133750,메가엠디
836,446540,메가터치
837,235980,메드팩토
838,200580,메디쎄이
839,041920,메디아나
840,233250,메디안디노스틱
841,014100,메디앙스
842,236340,메디젠휴먼케어
843,054180,메디콕스
844,086900,메디톡스
845,078160,메디포스트
846,138040,메리츠금융지주
847,408920,메쎄이상
848,021880,메이슨캐피탈
849,140410,메지온
850,241770,메카로
851,090370,메타랩스
852,059210,메타바이오메드
853,118000,메타케어
854,058110,멕아이씨에스
855,017180,명문제약
856,009900,명신산업
857,012690,모나리자
858,005360,모나미
859,070960,모나용평
860,434480,모니터랩
861,080420,모다이노칩
862,417970,모델솔루션
863,080160,모두투어
864,087260,모바일어플라이언스
865,101330,모베이스
866,012860,모베이스전자
867,363260,모비데이즈
868,348030,모비릭스
869,250060,모비스
870,288980,모아데이타
871,142760,모아라이프플러스
